date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-11-13,0.26186352941176466,0.3182,0.1779,8,4,17,12,71,2,4
2022-11-14,0.438546736684171,0.4404,0.0772,20,1,7,9,64,2,4
2022-11-15,0.5567183768656716,0.5267,0.1779,16,4,8,17,108,2,4
2022-11-16,0.40303333333333335,0.6369,0.7717,5,2,2,5,27,1,4
2022-11-17,0.30145964691046656,0.6124,0.2023,13,5,4,6,45,1,4
2022-11-18,0.2985107711138311,0.6249,0.1779,7,2,2,14,91,1,4
2022-11-19,0.3469933962264151,0.6705,0.2732,3,1,3,4,27,1,4
2022-11-20,0.6272741141732283,0.5994,0.0,5,0,7,46,204,2,4
2022-11-21,-0.01482762096774197,0.4215,0.128,12,5,5,5,59,1,4
2022-11-22,0.47945196759259257,0.5994,0.5859,11,2,14,6,67,1,4
2022-11-23,0.16137214832728736,0.296,0.3612,30,4,10,29,135,2,4
2022-11-24,0.7626472303206998,0.7845,0.0,6,0,4,8,58,0,4
2022-11-25,-0.39611442622950815,0.6124,0.5267,7,3,17,25,111,2,4
2022-11-26,0.2546705,0.4865,0.4767,4,2,13,7,34,1,4
2022-11-27,0.28619333333333336,0.5719,0.4404,3,1,3,3,19,1,4
2022-11-28,0.3624165137614679,0.4728,0.25,9,1,4,9,44,2,4
2022-11-29,0.7039508655126498,0.6705,0.0,8,0,2,14,76,1,4
2022-11-30,0.1505460227272727,0.4939,0.5423,13,2,6,9,66,1,4
2022-12-01,0.122784661117717,0.5423,0.3818,11,2,5,8,65,1,4
2022-12-02,0.7442586515513127,0.296,0.2263,4,3,36,24,240,3,4
2022-12-03,0.34377395348837203,0.5574,0.3818,8,2,15,21,108,2,4
2022-12-04,0.2018985507246377,0.1779,0.7003,5,2,8,20,113,1,4
2022-12-05,0.39954326923076916,0.296,0.1027,8,1,3,4,24,1,4
2022-12-06,0.5189212560386472,0.5106,0.0,12,0,3,6,35,1,4
2022-12-07,0.3436222222222223,0.3612,0.7508,5,1,3,4,72,1,4
2022-12-08,0.6383389763779528,0.5267,0.0,11,0,6,18,47,2,4
2022-12-09,0.6171458847736626,0.5859,0.0,10,0,8,14,49,1,4
2022-12-10,0.4358069651741293,0.4939,0.0,6,0,3,7,34,1,4
