date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-04-23,0.06885710784313726,0.4404,0.4019,13,7,9,7,41,1,5
2022-04-24,-0.12024216380182004,0.1779,0.4019,8,2,1248,300,330,4,5
2022-04-25,0.1951504731861199,0.296,0.25,15,1,5,6,34,2,5
2022-04-26,0.08310878571428573,0.4588,0.6249,17,8,7,13,52,5,5
2022-04-27,0.2687956865127582,0.4019,0.1531,19,4,8,8,59,2,5
2022-04-28,0.13138202115158634,0.4939,0.2263,43,10,9,8,61,2,5
2022-04-29,0.2491611218568666,0.3612,0.296,26,8,5,7,40,1,5
2022-04-30,0.3112874514877102,0.4019,0.2023,12,3,7,13,49,1,5
2022-05-01,0.186,0.5859,0.6486,6,2,7,9,45,1,5
2022-05-02,0.06457431457431458,0.2263,0.4939,16,2,6,9,95,2,5
2022-05-03,0.06725120350109409,0.296,0.3182,14,4,4,6,46,1,5
2022-05-04,0.21074394785847297,0.3612,0.2023,9,4,6,17,101,1,5
2022-05-05,0.3345230019493178,0.4404,0.25,17,2,3,4,26,1,5
2022-05-06,0.2096643474503025,0.34,0.5423,14,5,11,18,193,4,5
2022-05-07,0.42898306306306305,0.6369,0.34,6,3,8,18,101,1,5
2022-05-08,-0.028662088102670815,0.7783,0.3612,13,2,10,18,161,2,5
2022-05-09,0.39604740295243307,0.4019,0.296,27,4,5,10,53,2,5
2022-05-10,0.11704391364262748,0.5267,0.5106,18,10,15,10,76,1,5
2022-05-11,0.33297852820140406,0.4404,0.25,20,5,45,32,138,3,5
2022-05-12,0.338951932606541,0.4588,0.3182,55,3,4,12,66,2,5
2022-05-13,0.17045312710154673,0.4939,0.2732,23,2,13,18,115,1,5
2022-05-14,0.5219418053454361,0.4767,0.7003,15,2,6,19,117,2,5
2022-05-15,0.36721863727454906,0.4019,0.6249,11,2,3,6,36,1,5
2022-05-16,0.2368920727745289,0.296,0.0772,19,1,8,14,70,4,5
2022-05-17,0.3944377987770984,0.5994,0.5994,27,1,7,10,59,2,5
2022-05-18,0.11185457552370452,0.296,0.296,20,9,11,12,61,3,5
2022-05-19,0.5203028169014084,0.5719,0.296,24,3,7,10,106,2,5
2022-05-20,0.2829030601092896,0.5994,0.2263,14,6,5,8,42,2,5
2022-05-21,0.20722075,0.1779,0.0,7,0,24,14,100,2,5
2022-05-22,0.5375747044917258,0.5574,0.3182,9,4,7,9,66,2,5
