date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-06-22,0.324571875,0.4767,0.6597,14,6,6,10,75,1,3
2022-06-23,0.21394496402877697,0.5719,0.5574,11,3,3,3,19,1,3
2022-06-24,0.5490603448275863,0.6486,0.4588,14,1,4,5,43,1,3
2022-06-25,0.10403354700854701,0.5719,0.5574,9,5,3,6,30,1,3
2022-06-26,0.6887875000000001,0.4767,0.0,5,0,5,8,103,1,3
2022-06-27,0.27925112443778116,0.3818,0.4939,11,3,2,8,45,1,3
2022-06-28,0.4292700325732899,0.5719,0.7096,15,1,3,3,30,1,3
2022-06-29,0.4281285580524345,0.5267,0.2732,14,5,5,5,57,1,3
2022-06-30,-0.2286131305352329,0.4767,0.5574,13,3,8,33,137,4,3
2022-07-01,0.31935464933018126,0.4767,0.5106,12,6,10,7,91,2,3
2022-07-02,0.23047613320999075,0.5859,0.2023,11,3,5,13,145,2,3
2022-07-03,0.7723738186462326,0.4019,0.2732,7,2,10,7,87,1,3
2022-07-04,-0.14955069124423967,0.6369,0.4588,5,3,10,10,55,1,3
2022-07-05,0.2482204116638078,0.5247,0.2023,25,9,9,9,90,2,3
2022-07-06,0.366182443653618,0.296,0.0516,24,3,8,9,61,2,3
2022-07-07,-0.13576589549262075,0.5719,0.4939,20,7,5,10,90,1,3
2022-07-08,0.35032478547854784,0.5267,0.3818,46,19,10,11,90,2,3
2022-07-09,0.4182254572055597,0.5251,0.2732,31,7,3,5,36,1,3
2022-07-10,0.345372,0.4767,0.3612,26,3,10,11,97,3,3
2022-07-11,0.3724471698113207,0.3612,0.7845,18,3,4,7,41,1,3
2022-07-12,-0.09180084951456313,0.296,0.3612,14,7,9,10,66,3,3
2022-07-13,-0.0037706074586697368,0.4404,0.6753,19,5,16,17,145,7,3
2022-07-14,0.03310112107623318,0.4939,0.5859,15,6,6,6,52,1,3
2022-07-15,0.17664056827150745,0.4215,0.296,14,7,6,6,53,1,3
2022-07-16,-0.13727411003236248,0.5859,0.4939,7,3,7,12,72,2,3
2022-07-17,0.41898091603053433,0.6124,0.2263,10,2,6,6,41,1,3
2022-07-18,0.4069358461538461,0.5574,0.3612,14,2,8,12,82,1,3
2022-07-19,0.4524701038099315,0.296,0.6808,9,5,188,173,1869,14,3
2022-07-20,0.24184466145833328,0.5574,0.3612,57,14,9,8,84,2,3
2022-07-21,0.14614852049910868,0.4404,0.5106,58,19,18,11,124,2,3
2022-07-22,-0.13343271685334718,0.5423,0.6908,26,9,16,14,99,2,3
2022-07-23,0.07520194346289753,0.25,0.5574,8,2,5,6,52,1,3
2022-07-24,0.4091260658914729,0.3818,0.4767,13,4,6,6,52,1,3
2022-07-25,0.49452918073573837,0.5719,0.4767,21,8,6,30,171,2,3
2022-07-26,0.44212277722277726,0.5106,0.6597,16,1,6,4,51,1,3
2022-07-27,0.4476069911504425,0.872,0.5267,19,4,14,20,91,1,3
2022-07-28,0.3162019461077844,0.4404,0.4019,21,5,4,6,47,1,3
2022-07-29,0.2908943383805135,0.5719,0.4019,13,1,6,9,80,1,3
2022-07-30,0.6205991625959526,0.4303,0.3182,11,2,6,10,96,1,3
2022-07-31,0.2847933614330874,0.3818,0.7147,13,1,11,13,68,1,3
2022-08-01,0.18381466842336408,0.34,0.128,22,5,9,20,72,3,3
2022-08-02,0.4534569677419354,0.5994,0.5106,16,4,7,7,68,1,3
2022-08-03,0.05323905759162303,0.3818,0.4404,24,5,8,9,87,1,3
2022-08-04,0.5887787508486083,0.7096,0.3182,19,2,7,4,65,1,3
2022-08-05,0.45556147138964576,0.4588,0.0,34,0,8,8,92,1,3
2022-08-06,0.09940925133689839,0.3612,0.4939,11,3,9,12,117,2,3
2022-08-07,0.46341024667931685,0.5719,0.4939,18,3,9,23,69,40,3
2022-08-08,0.3642175061124695,0.6908,0.296,15,1,10,13,103,4,3
2022-08-09,0.24331313050440354,0.5574,0.3182,17,4,8,11,55,3,3
2022-08-10,0.3721686067352138,0.4767,0.3182,225,41,18,39,233,10,3
2022-08-11,0.3176000465549349,0.4767,0.1027,33,10,8,7,47,1,3
2022-08-12,0.4931174885612608,0.5994,0.3612,19,4,7,8,79,1,3
2022-08-13,0.19883197969543145,0.34,0.4019,7,4,7,14,90,2,3
2022-08-14,0.3670433784579164,0.4588,0.3612,17,3,6,6,74,1,3
2022-08-15,0.20636079002079,0.5106,0.2263,19,5,9,7,78,1,3
2022-08-16,0.5629010854341733,0.5267,0.25,19,5,11,51,110,1,3
2022-08-17,0.6411980153749608,0.4767,0.6486,30,4,13,30,319,14,3
2022-08-18,0.07901616628175517,0.34,0.4588,13,3,6,5,44,2,3
2022-08-19,0.4227735062006765,0.6115,0.5965,13,2,9,4,50,1,3
2022-08-20,0.3616874673629243,0.5423,0.5574,10,2,7,7,64,1,3
2022-08-21,0.4443532921810701,0.4588,0.5994,20,3,3,3,39,1,3
2022-08-22,0.041402089864158796,0.5267,0.6249,13,2,5,8,60,1,3
2022-08-23,0.13716225596529286,0.5423,0.7357,18,6,13,17,83,3,3
2022-08-24,0.28823477198697073,0.5267,0.6249,30,4,6,9,69,2,3
2022-08-25,0.4347855758045754,0.5267,0.5267,46,2,8,9,88,1,3
2022-08-26,0.3221503131524009,0.5563,0.3612,21,1,5,7,40,1,3
2022-08-27,0.7620704339051464,0.8442,0.0516,13,1,6,7,71,1,3
2022-08-28,0.32952844243792323,0.6369,0.0,9,0,3,8,45,1,3
2022-08-29,0.2659747268754552,0.7655,0.4019,13,5,4,6,60,1,3
2022-08-30,0.40085828421741976,0.6124,0.5106,20,2,8,9,64,1,3
2022-08-31,0.44192832764505124,0.6124,0.34,10,2,5,5,21,1,3
2022-09-01,0.5254542553191489,0.5267,0.6369,15,4,12,10,130,2,3
2022-09-02,0.46393365114974766,0.4767,0.0,17,0,11,8,85,1,3
2022-09-03,0.30813892307692314,0.5719,0.0516,11,1,4,9,44,1,3
2022-09-04,0.386582299270073,0.5574,0.0,11,0,3,6,35,1,3
2022-09-05,0.32324707540521497,0.4404,0.4949,12,4,5,11,89,2,3
2022-09-06,0.3637977192982456,0.5267,0.8481,24,2,4,7,57,1,3
2022-09-07,0.45131541457985536,0.5267,0.5719,11,4,10,23,100,2,3
2022-09-08,0.1112716814159292,0.6249,0.3182,9,3,4,3,36,1,3
2022-09-09,0.10096040268456376,0.6369,0.7184,14,1,4,3,48,1,3
2022-09-10,0.38808580246913577,0.5267,0.926,10,1,4,3,38,1,3
2022-09-11,-0.23278797709923665,0.6597,0.2023,5,3,10,4,66,1,3
2022-09-12,0.1095885090218423,0.34,0.4404,16,2,5,12,88,1,3
2022-09-13,0.36177490196078427,0.4588,0.4588,14,3,9,12,134,2,3
2022-09-14,0.4694625370187562,0.6124,0.128,15,1,8,14,113,2,3
2022-09-15,0.6062208075663876,0.5267,0.4588,21,5,10,12,99,2,3
2022-09-16,0.789707945736434,0.4877,0.4588,14,3,14,22,145,2,3
2022-09-17,-0.2980681647940075,0.5106,0.7717,11,3,21,13,172,2,3
2022-09-18,0.30675114503816797,0.3612,0.7506,6,3,7,16,66,2,3
2022-09-19,0.3041014962593516,0.5267,0.4019,13,5,11,10,101,2,3
2022-09-20,0.46041060433295317,0.6697,0.34,18,3,5,3,39,1,3
2022-09-21,0.20764555160142342,0.5267,0.34,11,3,4,5,36,1,3
2022-09-22,0.19685715835141002,0.4019,0.2732,17,2,10,12,126,1,3
2022-09-23,0.35634851485148517,0.5267,0.4588,13,2,4,5,40,1,3
2022-09-24,0.4053621103117506,0.5994,0.886,4,2,4,11,53,1,3
2022-09-25,0.7354496287835525,0.4588,0.0,6,0,11,45,219,1,3
2022-09-26,0.12402766798418971,0.5267,0.5423,9,6,4,4,30,1,3
2022-09-27,0.3109241095890411,0.5423,0.5542,9,2,5,3,25,1,3
2022-09-28,0.18021720297029703,0.3182,0.4939,14,5,4,7,63,1,3
2022-09-29,0.17961490280777534,0.296,0.8074,13,2,9,11,74,1,3
2022-09-30,0.2710428947368421,0.6597,0.6124,16,2,4,4,48,1,3
2022-10-01,0.33248103277060576,0.5719,0.1531,18,7,8,5,75,1,3
2022-10-02,0.3937323032223982,0.4588,0.3612,16,4,14,14,173,2,3
2022-10-03,0.3761760668505598,0.4019,0.34,48,29,7,7,71,2,3
2022-10-04,0.2708356821192052,0.5267,0.4215,52,20,10,22,135,3,3
2022-10-05,0.5146903443462076,0.5719,0.25,38,10,8,8,83,2,3
2022-10-06,0.49428533168520805,0.4215,0.1317,45,4,7,15,98,2,3
2022-10-07,0.03194704149933065,0.5267,0.5312,24,13,11,6,87,1,3
2022-10-08,0.49160543933054396,0.5994,0.6124,14,3,6,17,51,1,3
2022-10-09,0.16601057563587682,0.25,0.4588,12,6,4,3,40,1,3
2022-10-10,0.2505407190022011,0.5423,0.4767,17,4,6,5,51,1,3
2022-10-11,0.014316300697494184,0.6369,0.3182,21,7,11,21,114,2,3
2022-10-12,0.381047244953628,0.4404,0.7717,28,4,7,5,54,1,3
2022-10-13,0.12033387640449433,0.743,0.4215,21,6,6,4,64,1,3
2022-10-14,0.24997719793135872,0.5994,0.4404,25,7,8,13,58,1,3
2022-10-15,0.2954048472075869,0.6124,0.4019,15,7,5,7,42,1,3
2022-10-16,0.44282075289575296,0.4767,0.9231,15,2,7,6,61,2,3
2022-10-17,0.32005045428733664,0.34,0.3612,22,6,11,9,118,1,3
2022-10-18,0.4728565529622981,0.5859,0.6369,16,6,12,8,90,2,3
2022-10-19,0.15336522509225095,0.4939,0.2732,50,17,9,13,95,3,3
2022-10-20,0.6078926306056404,0.5859,0.4019,47,12,14,17,162,2,3
2022-10-21,0.4319164542534451,0.4891,0.2263,36,9,16,21,202,5,3
2022-10-22,0.32192510460251045,0.3182,0.6355,6,4,18,17,153,4,3
2022-10-23,0.36760126116657904,0.4939,0.128,13,5,7,12,101,2,3
2022-10-24,0.20618863385971353,0.5106,0.2732,37,20,8,10,78,2,3
2022-10-25,0.46080411522633746,0.4959,0.4588,23,4,12,14,134,4,3
2022-10-26,0.16389508258258256,0.4019,0.2732,18,5,10,10,111,2,3
2022-10-27,-0.44964468505325517,0.5719,0.2263,26,8,6,33,394,1,3
2022-10-28,0.440330439367311,0.5574,0.6486,38,9,7,6,57,1,3
2022-10-29,0.44174992463069035,0.5106,0.34,20,3,8,11,139,1,3
2022-10-30,0.014471350274040885,0.4767,0.3182,19,11,6,8,60,2,3
2022-10-31,0.17740741525423728,0.5563,0.4767,19,10,4,6,61,1,3
2022-11-01,0.4959866172839506,0.5859,0.4939,21,5,6,8,78,1,3
2022-11-02,0.4023153825431034,0.6124,0.4588,16,3,12,22,169,1,3
2022-11-03,0.23398470426409904,0.34,0.6124,19,4,6,10,140,1,3
2022-11-04,0.1989991541714725,0.3612,0.4767,42,9,7,8,82,2,3
2022-11-05,0.7337096029321928,0.4588,0.5106,28,18,35,20,309,2,3
2022-11-06,0.27184305717619595,0.6486,0.5574,15,9,7,6,69,1,3
2022-11-07,0.07402408163265307,0.5267,0.3818,62,30,16,35,233,4,3
2022-11-08,0.33318631372975344,0.5719,0.3612,53,24,18,12,111,4,3
2022-11-09,0.37395372727454923,0.4767,0.25,257,34,14,26,162,7,3
2022-11-10,0.12743592671602463,0.4939,0.4588,74,21,12,30,165,3,3
